x,y,lonlat,perimeter,diameter,localidad,f.use
547514,4757059,42.96470208093524 -2.4173946026712656,282,,86,pollard_no_prun
547547,4757032,42.96445611398667 -2.4169869907200336,,99,87,pollard_no_prun
547548,4756981,42.963992385193706 -2.416984476149082,,80,88,pollard_no_prun
547569,4756998,42.964152144268155 -2.4167258106172085,,107,89,pollard_no_prun
547568,4756977,42.96396137215197 -2.416733354330063,,74,90,pollard_no_prun
547583,4756955,42.963756057433784 -2.416558088734746,,74,91,pollard_no_prun
547575,4756929,42.96352488454431 -2.4166585877537727,,61,92,pollard_no_prun
547575,4756890,42.96317921485752 -2.416658755391836,,96,93,pollard_no_prun
547532,4756891,42.96318281907588 -2.4171853065490723,,82,94,pollard_no_prun
547550,4756917,42.963418015278876 -2.4169610906392336,,71,95,pollard_no_prun
547557,4756930,42.963538714684546 -2.4168736673891544,,91,96,pollard_no_prun
547536,4756933,42.963567674160004 -2.417132332921028,,52,97,pollard_no_prun
547503,4757008,42.96424480620772 -2.417538519948721,,65,98,pollard_no_prun
547483,4756914,42.96339706052095 -2.4177810922265053,,82,99,pollard_no_prun
547475,4756951,42.96373279765248 -2.4178835190832615,,83,100,pollard_no_prun
547434,4756924,42.963493200950325 -2.4183906242251396,,67,AA21_241,pollard_no_prun
547438,4756940,42.96362932305783 -2.4183334596455097,,84,AA22_242,pollard_no_prun
546614,4757528,42.96897869557142 -2.428393503651023,,30.6,101,rec_esta
546600,4757523,42.968932846561074 -2.428556364029646,,47,102,rec_esta
546638,4757515,42.968865162692964 -2.4281020648777485,,28,103,rec_esta
546590,4757519,42.96889567282051 -2.4286855291575193,,33,104,rec_esta
546565,4757501,42.96873465646058 -2.428992222994566,,41,105,rec_esta
546580,4757481,42.96856077387929 -2.428808156400919,,30,106,rec_esta
546584,4757452,42.9682933492586 -2.428768090903759,,32,107,rec_esta
546568,4757408,42.967903800308704 -2.4289679992944,,30,108,rec_esta
546555,4757389,42.96772731933743 -2.4291265849024057,,39.3,109,rec_esta
546574,4757364,42.96750104986131 -2.42889323271811,,36,110,rec_esta
546587,4757382,42.96766554471105 -2.4287354853004217,,32,111,rec_esta
546586,4757343,42.96731379814446 -2.4287468008697033,,24,112,rec_esta
